tag,industry,count,score,note
financial services,Banking and Finance,0.003210,1,
consumer banking,Banking and Finance,0.002596,0,
banking big,Banking and Finance,0.002254,-1,
finance manager,Banking and Finance,0.000751,-1,
strategy transactions,Banking and Finance,0.000615,-1,
architect financial,Banking and Finance,0.000615,-1,
transaction services,Banking and Finance,0.000478,-1,
asset management,Banking and Finance,0.000478,-1,
credit risk,Banking and Finance,0.000478,-1,
engineer liquidity,Banking and Finance,0.000478,-1,
liquidity technology,Banking and Finance,0.000478,-1,
core banking,Banking and Finance,0.000410,-1,
cash management,Banking and Finance,0.000410,-1,
engineer payments,Banking and Finance,0.000410,-1,
manager restructuring,Banking and Finance,0.000410,-1,
risk compliance,Banking and Finance,0.000410,-1,
financial advisor,Banking and Finance,0.000342,-1,
banking group,Banking and Finance,0.000342,-1,
engineer finance,Banking and Finance,0.000342,-1,
trading mnc,Banking and Finance,0.000342,-1,
analyst credit,Banking and Finance,0.000342,-1,
wealth management,Banking and Finance,0.000342,-1,
middle office,Banking and Finance,0.000342,-1,
front office,Banking and Finance,0.000342,-1,
project manager,Consulting,0.033743,0,
business analyst,Consulting,0.014344,0,
data scientist,Consulting,0.010178,0,
business development,Consulting,0.008470,-1,
solution architect,Consulting,0.007582,0,
development manager,Consulting,0.007240,-1,
project engineer,Consulting,0.006079,1,
data analytics,Consulting,0.005874,1,
big data,Consulting,0.005601,1,
development engineer,Consulting,0.005601,1,
system analyst,Consulting,0.004781,0,
solutions architect,Consulting,0.004713,0,
machine learning,Consulting,0.004372,1,
delivery manager,Consulting,0.003689,-1,
program manager,Consulting,0.003347,-1,
data analyst,Consulting,0.003005,1,
technical consultant,Consulting,0.003005,1,
general manager,Consulting,0.002391,-1,
analytics operations,Consulting,0.002254,1,
technology consulting,Consulting,0.002117,-1,
business intelligence,Consulting,0.001913,1,
manager project,Consulting,0.001913,1,
data science,Consulting,0.001844,1,
functional consultant,Consulting,0.001844,0,
product development,Consulting,0.001844,0,
management consultant,Consulting,0.001708,0,
analytics technology,Consulting,0.001700,1,
business consultant,Consulting,0.001639,0,
computer vision,Consulting,0.001639,-1,
professional services,Consulting,0.001503,0,
solution consultant,Consulting,0.001434,0,
services consultant,Consulting,0.001366,0,
engineer data,Consulting,0.001366,1,
project management,Consulting,0.001366,0,
test development,Consulting,0.001298,1,
application analyst,Consulting,0.001230,0,
solutions engineer,Consulting,0.001161,0,
learning engineer,Consulting,0.001093,1,
bim manager,Consulting,0.001093,-1,
success manager,Consulting,0.001093,-1,
business consulting,Consulting,0.001093,0,
process development,Consulting,0.001093,0,
project officer,Consulting,0.001093,0,
agile coach,Consulting,0.001025,0,
business system,Consulting,0.001025,0,
consultant technology,Consulting,0.001025,0,
technology project,Consulting,0.001025,0,
