Track,,1,2,3,4,5,6,7,8,9
name,Total,Data Analyst,Sustainability Consultant,Process Engineer,IT consultant,Academic,Software Developer,Data Engineer,Data Scientist,GenAI Developer
latest CV,,v3.23,v3.61,v4,,,,,,
sample cover letter,,"Data Analyst, Grab","Energy Transition Manager, The Carbon Trust","Process Engineer, Teknor Apex",,,,,,
2024,,,,,,,,,,
% app-callback,,10%,10%,10%,10%,0.5%,2%,11.9%,2.5%,1%
% callback-interview,,33%,33%,33%,33%,25%,25%,19.4%,25%,20%
# applied,3766,259,25,106,198,182,628,1052,1172,144
# evaluated,159,86,10,7,2,0,10,17,27,0
# callbacks,225,30,6,0,3,1,27,110,44,4
# interviews,53,8,2,0,0,1,6,26,9,1
# offer,9,2,0,0,0,0,2,5,0,0
,,,,,,,,,,
% of applied,,7%,1%,3%,5%,5%,17%,28%,31%,4%
% evaluated,,33%,40%,7%,1%,0%,2%,2%,2%,0%
% callback,6%,12%,24%,0%,2%,1%,4%,10%,4%,3%
% interview-callback,24%,27%,33%,,0%,100%,22%,24%,20%,25%
% interview-applied,1%,3.1%,8.0%,0.0%,0.0%,0.5%,1.0%,2.5%,0.8%,0.7%
,,,,,,,,,,
avg match score,0.91,92.7%,82.8%,92.5%,100.0%,,96.0%,88.1%,90.6%,
